regiao,estado,municipio,populacao,casosAcumulado,obitosAcumulado
Sudeste,SP,CAFELANDIA,17767,896,61
Sul,PR,CAFELANDIA,18120,5702,50
Sul,PR,CAFEZAL DO SUL,4044,1163,13
Sudeste,SP,CAIABU,4191,335,9
Sudeste,MG,CAIANA,5496,312,7
Centro-Oeste,GO,CAIAPONIA,18913,4519,47
Sul,RS,CAIBATE,4846,568,8
Sul,SC,CAIBI,6148,1350,20
Nordeste,PB,CAICARA,7201,1193,15
Sul,RS,CAICARA,4743,1300,12
Nordeste,RN,CAICARA DO NORTE,6549,808,14
Nordeste,RN,CAICARA DO RIO DO VENTO,3684,937,9
Nordeste,RN,CAICO,67952,21013,196
Sudeste,SP,CAIEIRAS,101470,13766,362
Nordeste,BA,CAIRU,18176,1980,19
Sudeste,SP,CAIUA,5874,524,12
Sudeste,SP,CAJAMAR,76801,5670,270
Nordeste,MA,CAJAPIO,11177,484,7
Nordeste,MA,CAJARI,19379,526,8
Sudeste,SP,CAJATI,28549,6799,115
Nordeste,PB,CAJAZEIRAS,61993,19162,193
Nordeste,PI,CAJAZEIRAS DO PIAUI,3559,92,2
Nordeste,PB,CAJAZEIRINHAS,3193,360,1
Sudeste,SP,CAJOBI,10542,2337,38
Nordeste,AL,CAJUEIRO,21264,937,36
Nordeste,PI,CAJUEIRO DA PRAIA,7642,501,21
Sudeste,MG,CAJURI,3987,734,11
Sudeste,SP,CAJURU,26167,2164,87
Nordeste,PE,CALCADO,11053,1065,9
Norte,AP,CALCOENE,11117,3212,15
Sudeste,MG,CALDAS,14480,2392,43
Nordeste,PB,CALDAS BRANDAO,6014,1115,13
Centro-Oeste,GO,CALDAS NOVAS,91162,24163,357
Centro-Oeste,GO,CALDAZINHA,3804,1442,12
Nordeste,BA,CALDEIRAO GRANDE,13327,756,7
Nordeste,PI,CALDEIRAO GRANDE DO PIAUI,5776,551,2
Sul,PR,CALIFORNIA,8570,2389,42
Sul,SC,CALMON,3346,84,7
Nordeste,PE,CALUMBI,5750,1337,6
Nordeste,BA,CAMACA,31988,3968,101
Nordeste,BA,CAMACARI,299132,35367,698
Sudeste,MG,CAMACHO,2901,356,2
Nordeste,PB,CAMALAU,6013,1012,8
Nordeste,BA,CAMAMU,35316,3370,65
Sudeste,MG,CAMANDUCAIA,21770,5672,90
Centro-Oeste,MS,CAMAPUA,13711,2047,39
Sul,RS,CAMAQUA,66261,15031,193
Nordeste,PE,CAMARAGIBE,157828,13702,472
