regiao,estado,municipio,votos_Bolsonaro,votos_Haddad
Sudeste,MG,MARMELOPOLIS,1091,762
Sul,RS,MARQUES DE SOUZA,1801,902
Sul,PR,MARQUINHO,1062,1802
Sudeste,MG,MARTINHO CAMPOS,4689,2326
Nordeste,CE,MARTINOPOLE,846,6177
Sudeste,SP,MARTINOPOLIS,8734,3596
Nordeste,RN,MARTINS,1304,3487
Sudeste,MG,MARTINS SOARES,2047,2488
Nordeste,SE,MARUIM,1860,6999
Sul,PR,MARUMBI,1640,1260
Centro-Oeste,GO,MARZAGAO,842,639
Exterior,ZZ,MASCATE,32,4
Nordeste,BA,MASCOTE,1457,4133
Nordeste,CE,MASSAPE,5460,15280
Nordeste,PI,MASSAPE DO PIAUI,259,3833
Nordeste,PB,MASSARANDUBA,2248,6137
Sul,SC,MASSARANDUBA,8665,1321
Sul,RS,MATA,1570,1434
Nordeste,BA,MATA DE SAO JOAO,6152,21916
Nordeste,AL,MATA GRANDE,1537,9558
Nordeste,MA,MATA ROMA,1652,8737
Sudeste,MG,MATA VERDE,1730,2348
Sudeste,SP,MATAO,30373,12776
Nordeste,PB,MATARACA,1364,3979
Norte,TO,MATEIROS,394,851
Sul,PR,MATELANDIA,7803,1955
Sudeste,MG,MATERLANDIA,543,1602
Sudeste,MG,MATEUS LEME,10341,5499
Sudeste,MG,MATHIAS LOBATO,837,937
Sudeste,MG,MATIAS BARBOSA,4061,4128
Sudeste,MG,MATIAS CARDOSO,859,3074
Nordeste,PI,MATIAS OLIMPIO,1081,4836
Nordeste,BA,MATINA,529,5915
Nordeste,MA,MATINHA,2162,10451
Nordeste,PB,MATINHAS,624,2405
Sul,PR,MATINHOS,13045,6124
Sudeste,MG,MATIPO,4496,5295
Sul,RS,MATO CASTELHANO,1481,560
Nordeste,PB,MATO GROSSO,143,1633
Sul,RS,MATO LEITAO,2032,968
Sul,RS,MATO QUEIMADO,655,569
Sul,PR,MATO RICO,801,1491
Sudeste,MG,MATO VERDE,2689,4341
Nordeste,MA,MATOES,2144,14552
Nordeste,MA,MATOES DO NORTE,491,3974
Sul,SC,MATOS COSTA,751,880
Sudeste,MG,MATOZINHOS,11934,7658
Centro-Oeste,GO,MATRINCHA,1257,1186
Nordeste,AL,MATRIZ DE CAMARAGIBE,5879,6213
Centro-Oeste,MT,MATUPA,5509,2314
Nordeste,PB,MATUREIA,605,3222
Sudeste,MG,MATUTINA,1343,798
Sudeste,SP,MAUA,128689,78638
Sul,PR,MAUA DA SERRA,3400,2081
Norte,AM,MAUES,3080,16543
Centro-Oeste,GO,MAURILANDIA,2603,2475
Norte,TO,MAURILANDIA DO TOCANTINS,453,1523
Nordeste,CE,MAURITI,5458,19565
Nordeste,RN,MAXARANGUAPE,2109,4151
Sul,RS,MAXIMILIANO DE ALMEIDA,2104,895
Norte,AP,MAZAGAO,3361,7628
Sudeste,MG,MEDEIROS,1243,759
Nordeste,BA,MEDEIROS NETO,4883,7044
Sul,PR,MEDIANEIRA,18930,7803
Norte,PA,MEDICILANDIA,7085,4329
Sudeste,MG,MEDINA,3315,6181
Sul,SC,MELEIRO,4077,686
Norte,PA,MELGACO,1970,6115
Sudeste,RJ,MENDES,6396,3677
Sudeste,MG,MENDES PIMENTEL,1487,1776
Sudeste,SP,MENDONCA,2121,953
Exterior,ZZ,MENDOZA,68,36
Sul,PR,MERCEDES,3119,629
Sudeste,MG,MERCES,2032,3538
Sudeste,SP,MERIDIANO,1576,734
Nordeste,CE,MERUOCA,1928,6346
Sudeste,SP,MESOPOLIS,713,447
Sudeste,MG,MESQUITA,1795,1333
Sudeste,RJ,MESQUITA,67824,26728
Nordeste,AL,MESSIAS,3367,5415
Nordeste,RN,MESSIAS TARGINO,752,2383
Exterior,ZZ,MEXICO-MEXI,674,305
Exterior,ZZ,MIAMI,10441,1028
Nordeste,PI,MIGUEL ALVES,2649,14530
Nordeste,BA,MIGUEL CALMON,3564,10224
Nordeste,PI,MIGUEL LEAO,278,731
Sudeste,RJ,MIGUEL PEREIRA,10264,4677
Sudeste,SP,MIGUELOPOLIS,5545,4069
Nordeste,CE,MILAGRES,1782,14447
Nordeste,BA,MILAGRES,1267,4573
Nordeste,MA,MILAGRES DO MARANHAO,418,3340
Exterior,ZZ,MILAO,2851,1517
